displacement_mm,force_N
0.0,-15.352
0.00504,1050.924
0.01008,2099.771
0.01513,3165.094
0.02017,4205.468
0.02521,5246.53
0.03025,6311.361
0.03529,7319.816
0.04034,8376.286
0.04538,9420.219
0.05042,10476.506
0.05546,11509.938
0.0605,12588.351
0.06555,13623.725
0.07059,14653.232
0.07563,15708.296
0.08067,16776.467
0.08571,17775.653
0.09076,17803.62
0.0958,17827.965
0.10084,17801.062
0.10588,17790.591
0.11092,17784.041
0.11597,17830.626
0.12101,17825.004
0.12605,17841.556
0.13109,17849.193
0.13613,17866.851
0.14118,17895.541
0.14622,17892.495
0.15126,17898.348
0.1563,17895.781
0.16134,17896.784
0.16639,17925.198
0.17143,17942.274
0.17647,17980.188
0.18151,17966.211
0.18655,17989.587
0.1916,17977.944
0.19664,17978.248
0.20168,17992.133
0.20672,18006.32
0.21176,18059.714
0.21681,18026.054
0.22185,18061.54
0.22689,18046.007
0.23193,18084.113
0.23697,18086.502
0.24202,18088.967
0.24706,18101.293
0.2521,18102.671
0.25714,18129.772
0.26218,18126.844
0.26723,18125.873
0.27227,18135.676
0.27731,18168.023
0.28235,18199.708
0.28739,18189.01
0.29244,18195.419
0.29748,18212.074
0.30252,18237.965
0.30756,18232.254
0.31261,18233.387
0.31765,18266.734
0.32269,18267.159
0.32773,18294.352
0.33277,18284.653
0.33782,18274.126
0.34286,18282.558
0.3479,18338.433
0.35294,18350.112
0.35798,18332.153
0.36303,18339.686
0.36807,18377.944
0.37311,18350.005
0.37815,18363.778
0.38319,18397.437
0.38824,18392.456
0.39328,18408.886
0.39832,18417.1
0.40336,18435.203
0.4084,18461.84
0.41345,18452.675
0.41849,18471.563
0.42353,18441.74
0.42857,18482.35
0.43361,18481.021
0.43866,18485.975
0.4437,18501.673
0.44874,18520.422
0.45378,18549.761
0.45882,18526.714
0.46387,18557.658
0.46891,18560.524
0.47395,18573.46
0.47899,18604.005
0.48403,18607.623
0.48908,18630.201
0.49412,18618.41
0.49916,18620.877
0.5042,18638.546
0.50924,18656.13
0.51429,18665.729
0.51933,18657.403
0.52437,18685.615
0.52941,18698.269
0.53445,18743.196
0.5395,18744.175
0.54454,18713.812
0.54958,18732.888
0.55462,18725.835
0.55966,18749.514
0.56471,18773.697
0.56975,18797.639
0.57479,18779.203
0.57983,18790.916
0.58487,18779.107
0.58992,18819.464
0.59496,18816.556
0.6,18835.139
