time_s,accel_g
0.0,0.0002
0.001,0.0538
0.002,-0.0493
0.003,-0.1603
0.004,-0.0818
0.005,-0.1785
0.006,0.0108
0.007,0.2412
0.008,-0.0886
0.009,-0.1117
0.01,0.0882
0.011,0.0642
0.012,0.019
0.013,-0.1675
0.014,-0.0053
0.015,0.1252
0.016,-0.242
0.017,-0.0824
0.018,-0.322
0.019,-0.1513
0.02,-0.1501
0.021,0.2793
0.022,0.2726
0.023,0.7667
0.024,1.0001
0.025,1.228
0.026,1.1328
0.027,1.8456
0.028,2.3216
0.029,2.7677
0.03,2.9158
0.031,3.5741
0.032,3.9755
0.033,4.5177
0.034,5.3837
0.035,5.592
0.036,6.2886
0.037,7.0206
0.038,7.3302
0.039,7.9933
0.04,8.6129
0.041,9.1826
0.042,9.5245
0.043,10.3256
0.044,11.1136
0.045,11.1351
0.046,12.0978
0.047,12.4763
0.048,12.8308
0.049,13.7752
0.05,13.9963
0.051,14.0602
0.052,14.6772
0.053,15.1244
0.054,15.3107
0.055,15.7574
0.056,15.8766
0.057,16.2258
0.058,16.5437
0.059,16.3033
0.06,16.5622
0.061,16.5028
0.062,16.6293
0.063,16.3725
0.064,16.4213
0.065,16.3896
0.066,16.4465
0.067,16.3118
0.068,15.6503
0.069,15.4915
0.07,15.4612
0.071,14.662
0.072,14.5804
0.073,14.2585
0.074,14.0854
0.075,13.5393
0.076,12.8874
0.077,12.3885
0.078,11.898
0.079,11.6879
0.08,10.792
0.081,10.2573
0.082,9.8085
0.083,9.1494
0.084,8.5575
0.085,7.8129
0.086,7.4332
0.087,6.7815
0.088,6.5044
0.089,5.8549
0.09,5.1884
0.091,4.7836
0.092,4.0904
0.093,3.8495
0.094,3.1903
0.095,2.8523
0.096,2.098
0.097,2.005
0.098,1.2819
0.099,0.8953
0.1,0.9171
0.101,0.5559
0.102,0.5303
0.103,0.7257
0.104,0.0317
0.105,-0.0315
0.106,0.0572
0.107,0.0887
0.108,-0.2812
0.109,-0.5211
0.11,-0.5753
0.111,-0.8069
0.112,-1.2649
0.113,-1.2497
0.114,-1.3632
0.115,-1.6702
0.116,-1.521
0.117,-1.7861
0.118,-1.4975
0.119,-1.6559
0.12,-1.671
0.121,-1.7692
0.122,-1.6405
0.123,-1.9172
0.124,-1.6833
0.125,-1.3217
0.126,-1.6648
0.127,-1.013
0.128,-1.3545
0.129,-0.7718
0.13,-0.923
0.131,-0.4902
0.132,-0.4654
0.133,-0.6246
0.134,0.0155
0.135,0.1849
0.136,0.0428
0.137,0.128
0.138,0.2631
0.139,0.2221
0.14,0.6911
0.141,0.4809
0.142,0.6435
0.143,0.5725
0.144,0.6533
0.145,0.575
0.146,1.0584
0.147,0.82
0.148,1.026
0.149,0.8482
0.15,0.7044
0.151,0.7446
0.152,0.6679
0.153,0.7276
0.154,0.6091
0.155,0.5672
0.156,0.3124
0.157,0.3506
0.158,0.7257
0.159,0.2373
0.16,0.0973
0.161,0.2765
0.162,0.3985
0.163,-0.1856
0.164,-0.0282
0.165,-0.1682
0.166,-0.4316
0.167,-0.0382
0.168,-0.2258
0.169,-0.2548
0.17,-0.4436
0.171,-0.2612
0.172,-0.4691
0.173,-0.4207
0.174,-0.6116
0.175,-0.6421
0.176,-0.1883
0.177,-0.5198
0.178,-0.3706
0.179,-0.4188
0.18,-0.4771
0.181,-0.4699
0.182,-0.2421
0.183,-0.3836
0.184,-0.3273
0.185,-0.2646
0.186,-0.0235
0.187,-0.0781
0.188,-0.0962
0.189,-0.2306
0.19,-0.3421
0.191,0.1128
0.192,0.1502
0.193,-0.016
0.194,0.1382
0.195,0.2107
0.196,0.2468
0.197,0.2877
0.198,0.0619
0.199,0.4358
0.2,-0.045
0.201,0.3478
0.202,0.2919
0.203,0.3676
0.204,0.5529
0.205,0.4834
0.206,0.0089
0.207,-0.0928
0.208,0.352
0.209,0.0137
0.21,0.1837
0.211,0.3248
0.212,-0.1362
0.213,-0.2353
0.214,0.1749
0.215,0.1191
0.216,0.0492
0.217,0.0824
0.218,-0.0976
0.219,-0.2331
0.22,-0.0082
0.221,-0.1702
0.222,-0.3074
0.223,0.0641
0.224,-0.0523
0.225,0.0187
0.226,-0.2444
0.227,-0.1953
0.228,-0.2657
0.229,-0.253
0.23,-0.0643
0.231,-0.245
0.232,-0.043
0.233,-0.0475
0.234,0.2557
0.235,-0.3583
0.236,0.0546
0.237,-0.1176
0.238,-0.0993
0.239,-0.3521
0.24,-0.1674
0.241,0.0565
0.242,-0.0842
0.243,-0.0463
0.244,-0.1045
0.245,0.1646
0.246,-0.0379
0.247,-0.4211
0.248,-0.1406
0.249,-0.3616
0.25,-0.5841
